time,V(N001),V(N002),I(V1),I(R1),I(C1),I(L1)
0,1,-0,-0.0001,-0.0001,-0.0001,0
1e-06,1,-0,-0.0001,-0.0001,-0.0001,0
2e-06,1,0.1,-9e-05,-9e-05,-9e-05,0
3e-06,1,0.19,-8.1e-05,-8.1e-05,1.9e-05,-0.0001
4e-06,1,0.171,-8.29e-05,-8.29e-05,0.0002071,-0.00029
5e-06,1,-0.0361,-0.00010361,-0.00010361,0.00035739,-0.000461
6e-06,1,-0.39349,-0.000139349,-0.000139349,0.000285551,-0.0004249
7e-06,1,-0.679041,-0.000167904,-0.000167904,-0.000136494,-3.141e-05
8e-06,1,-0.542547,-0.000154255,-0.000154255,-0.000801886,0.000647631
9e-06,1,0.259339,-7.40661e-05,-7.40661e-05,-0.00126424,0.00119018
1e-05,1,1.52358,5.23583e-05,5.23583e-05,-0.000878481,0.000930839
1.1e-05,1,2.40206,0.000140206,0.000140206,0.00073295,-0.000592744
1.2e-05,1,1.66911,6.69114e-05,6.69114e-05,0.00306172,-0.00299481
1.3e-05,1,-1.39261,-0.000239261,-0.000239261,0.00442466,-0.00466392
1.4e-05,1,-5.81727,-0.000681727,-0.000681727,0.00258959,-0.00327132
1.5e-05,1,-8.40685,-0.000940685,-0.000940685,-0.00348664,0.00254595
1.6e-05,1,-4.92022,-0.000592022,-0.000592022,-0.0115448,0.0109528
1.7e-05,1,6.62461,0.000562461,0.000562461,-0.0153106,0.015873
1.8e-05,1,21.9352,0.00209352,0.00209352,-0.0071549,0.00924842
1.9e-05,1,29.0901,0.00280901,0.00280901,0.0154958,-0.0126868
2e-05,1,13.5943,0.00125943,0.00125943,0.0430363,-0.0417768
2.1e-05,1,-29.4419,-0.00304419,-0.00304419,0.0523269,-0.0553711
2.2e-05,1,-81.7689,-0.00827689,-0.00827689,0.0176523,-0.0259292
2.3e-05,1,-99.4212,-0.0100421,-0.0100421,-0.0658818,0.0558397
2.4e-05,1,-33.5394,-0.00345394,-0.00345394,-0.158715,0.155261
2.5e-05,1,125.175,0.0124175,0.0124175,-0.176383,0.1888
