time,V(N001),V(N002),V(N003),I(V1),I(V2),I(R1),I(R2),I(R3)
0,2,-1,0,-0.0003,0,-0.0003,0,0.0001
1e-06,2,-1,0,-0.0003,0,-0.0003,0,0.0001
2e-06,2,-1,0,-0.0003,0,-0.0003,0,0.0001
3e-06,2,-1,0,-0.0003,0,-0.0003,0,0.0001
4e-06,2,-1,0,-0.0003,0,-0.0003,0,0.0001
5e-06,2,-1,0,-0.0003,0,-0.0003,0,0.0001
6e-06,2,-1,0,-0.0003,0,-0.0003,0,0.0001
7e-06,2,-1,0,-0.0003,0,-0.0003,0,0.0001
8e-06,2,-1,0,-0.0003,0,-0.0003,0,0.0001
9e-06,2,-1,0,-0.0003,0,-0.0003,0,0.0001
1e-05,2,-1,0,-0.0003,0,-0.0003,0,0.0001
1.1e-05,2,-1,0,-0.0003,0,-0.0003,0,0.0001
1.2e-05,2,-1,0,-0.0003,0,-0.0003,0,0.0001
1.3e-05,2,-1,0,-0.0003,0,-0.0003,0,0.0001
1.4e-05,2,-1,0,-0.0003,0,-0.0003,0,0.0001
1.5e-05,2,-1,0,-0.0003,0,-0.0003,0,0.0001
1.6e-05,2,-1,0,-0.0003,0,-0.0003,0,0.0001
1.7e-05,2,-1,0,-0.0003,0,-0.0003,0,0.0001
1.8e-05,2,-1,0,-0.0003,0,-0.0003,0,0.0001
1.9e-05,2,-1,0,-0.0003,0,-0.0003,0,0.0001
2e-05,2,-1,0,-0.0003,0,-0.0003,0,0.0001
2.1e-05,2,-1,0,-0.0003,0,-0.0003,0,0.0001
2.2e-05,2,-1,0,-0.0003,0,-0.0003,0,0.0001
2.3e-05,2,-1,0,-0.0003,0,-0.0003,0,0.0001
2.4e-05,2,-1,0,-0.0003,0,-0.0003,0,0.0001
2.5e-05,2,-1,0,-0.0003,0,-0.0003,0,0.0001
2.6e-05,2,-1,0,-0.0003,0,-0.0003,0,0.0001
2.7e-05,2,-1,0,-0.0003,0,-0.0003,0,0.0001
2.8e-05,2,-1,0,-0.0003,0,-0.0003,0,0.0001
2.9e-05,2,-1,0,-0.0003,0,-0.0003,0,0.0001
3e-05,2,-1,0,-0.0003,0,-0.0003,0,0.0001
3.1e-05,2,-1,0,-0.0003,0,-0.0003,0,0.0001
3.2e-05,2,-1,0,-0.0003,0,-0.0003,0,0.0001
3.3e-05,2,-1,0,-0.0003,0,-0.0003,0,0.0001
3.4e-05,2,-1,0,-0.0003,0,-0.0003,0,0.0001
3.5e-05,2,-1,0,-0.0003,0,-0.0003,0,0.0001
3.6e-05,2,-1,0,-0.0003,0,-0.0003,0,0.0001
3.7e-05,2,-1,0,-0.0003,0,-0.0003,0,0.0001
3.8e-05,2,-1,0,-0.0003,0,-0.0003,0,0.0001
