time,V(N001),I(V1),I(R1),I(D1)
0,2,-5.54062e+19,-0.0002,5.54062e+19
1e-07,2.00063,-5.68164e+19,-0.000200063,5.68164e+19
2e-07,2.00126,-5.82624e+19,-0.000200126,5.82624e+19
3e-07,2.00188,-5.97453e+19,-0.000200188,5.97453e+19
4e-07,2.00251,-6.12659e+19,-0.000200251,6.12659e+19
5e-07,2.00314,-6.28251e+19,-0.000200314,6.28251e+19
6e-07,2.00377,-6.44241e+19,-0.000200377,6.44241e+19
7e-07,2.0044,-6.60638e+19,-0.00020044,6.60638e+19
8e-07,2.00503,-6.77452e+19,-0.000200503,6.77452e+19
9e-07,2.00565,-6.94693e+19,-0.000200565,6.94693e+19
1e-06,2.00628,-7.12374e+19,-0.000200628,7.12374e+19
1.1e-06,2.00691,-7.30504e+19,-0.000200691,7.30504e+19
1.2e-06,2.00754,-7.49096e+19,-0.000200754,7.49096e+19
1.3e-06,2.00817,-7.68161e+19,-0.000200817,7.68161e+19
1.4e-06,2.0088,-7.87711e+19,-0.00020088,7.87711e+19
1.5e-06,2.00942,-8.07758e+19,-0.000200942,8.07758e+19
1.6e-06,2.01005,-8.28315e+19,-0.000201005,8.28315e+19
1.7e-06,2.01068,-8.49396e+19,-0.000201068,8.49396e+19
1.8e-06,2.01131,-8.71013e+19,-0.000201131,8.71013e+19
1.9e-06,2.01194,-8.9318e+19,-0.000201194,8.9318e+19
2e-06,2.01257,-9.1591e+19,-0.000201257,9.1591e+19
2.1e-06,2.01319,-9.3922e+19,-0.000201319,9.3922e+19
2.2e-06,2.01382,-9.63122e+19,-0.000201382,9.63122e+19
2.3e-06,2.01445,-9.87632e+19,-0.000201445,9.87632e+19
2.4e-06,2.01508,-1.01277e+20,-0.000201508,1.01277e+20
2.5e-06,2.01571,-1.03854e+20,-0.000201571,1.03854e+20
2.6e-06,2.01634,-1.06497e+20,-0.000201634,1.06497e+20
2.7e-06,2.01696,-1.09207e+20,-0.000201696,1.09207e+20
