time,V(N001),V(N002),I(V1),I(R1),I(D1)
0,2,0.640882,-0.000135912,-0.000135912,0.000135937
1e-07,2,0.640882,-0.000135912,-0.000135912,0.000135912
2e-07,2,0.640882,-0.000135912,-0.000135912,0.000135912
3e-07,2,0.640882,-0.000135912,-0.000135912,0.000135912
4e-07,2,0.640882,-0.000135912,-0.000135912,0.000135912
5e-07,2,0.640882,-0.000135912,-0.000135912,0.000135912
6e-07,2,0.640882,-0.000135912,-0.000135912,0.000135912
7e-07,2,0.640882,-0.000135912,-0.000135912,0.000135912
8e-07,2,0.640882,-0.000135912,-0.000135912,0.000135912
9e-07,2,0.640882,-0.000135912,-0.000135912,0.000135912
1e-06,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.1e-06,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.2e-06,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.3e-06,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.4e-06,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.5e-06,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.6e-06,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.7e-06,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.8e-06,2,0.640882,-0.000135912,-0.000135912,0.000135912
1.9e-06,2,0.640882,-0.000135912,-0.000135912,0.000135912
2e-06,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.1e-06,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.2e-06,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.3e-06,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.4e-06,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.5e-06,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.6e-06,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.7e-06,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.8e-06,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.9e-06,2,0.640882,-0.000135912,-0.000135912,0.000135912
3e-06,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.1e-06,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.2e-06,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.3e-06,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.4e-06,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.5e-06,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.6e-06,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.7e-06,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.8e-06,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.9e-06,2,0.640882,-0.000135912,-0.000135912,0.000135912
4e-06,2,0.640882,-0.000135912,-0.000135912,0.000135912
4.1e-06,2,0.640882,-0.000135912,-0.000135912,0.000135912
4.2e-06,2,0.640882,-0.000135912,-0.000135912,0.000135912
4.3e-06,2,0.640882,-0.000135912,-0.000135912,0.000135912
4.4e-06,2,0.640882,-0.000135912,-0.000135912,0.000135912
4.5e-06,2,0.640882,-0.000135912,-0.000135912,0.000135912
4.6e-06,2,0.640882,-0.000135912,-0.000135912,0.000135912
4.7e-06,2,0.640882,-0.000135912,-0.000135912,0.000135912
