time,V(N001),V(N002),I(V1),I(R1),I(C1),I(L1)
0,1,-0,-0.0001,-0.0001,-0.0001,0
1e-07,1,-0,-0.0001,-0.0001,-0.0001,0
2e-07,1,0.01,-9.9e-05,-9.9e-05,-9.9e-05,0
3e-07,1,0.0199,-9.801e-05,-9.801e-05,-9.701e-05,-1e-06
4e-07,1,0.029601,-9.70399e-05,-9.70399e-05,-9.40499e-05,-2.99e-06
5e-07,1,0.039006,-9.60994e-05,-9.60994e-05,-9.01493e-05,-5.9501e-06
6e-07,1,0.0480209,-9.51979e-05,-9.51979e-05,-8.53472e-05,-9.8507e-06
7e-07,1,0.0565556,-9.43444e-05,-9.43444e-05,-7.96916e-05,-1.46528e-05
8e-07,1,0.0645248,-9.35475e-05,-9.35475e-05,-7.32392e-05,-2.03084e-05
9e-07,1,0.0718487,-9.28151e-05,-9.28151e-05,-6.60543e-05,-2.67608e-05
1e-06,1,0.0784542,-9.21546e-05,-9.21546e-05,-5.82089e-05,-3.39457e-05
1.1e-06,1,0.084275,-9.15725e-05,-9.15725e-05,-4.97814e-05,-4.17911e-05
1.2e-06,1,0.0892532,-9.10747e-05,-9.10747e-05,-4.08561e-05,-5.02186e-05
1.3e-06,1,0.0933388,-9.06661e-05,-9.06661e-05,-3.15222e-05,-5.91439e-05
1.4e-06,1,0.096491,-9.03509e-05,-9.03509e-05,-2.18731e-05,-6.84778e-05
1.5e-06,1,0.0986783,-9.01322e-05,-9.01322e-05,-1.20052e-05,-7.81269e-05
1.6e-06,1,0.0998788,-9.00121e-05,-9.00121e-05,-2.01736e-06,-8.79948e-05
1.7e-06,1,0.100081,-8.99919e-05,-8.99919e-05,7.99069e-06,-9.79826e-05
1.8e-06,1,0.0992815,-9.00719e-05,-9.00719e-05,1.79188e-05,-0.000107991
1.9e-06,1,0.0974896,-9.0251e-05,-9.0251e-05,2.76678e-05,-0.000117919
2e-06,1,0.0947228,-9.05277e-05,-9.05277e-05,3.71401e-05,-0.000127668
2.1e-06,1,0.0910088,-9.08991e-05,-9.08991e-05,4.6241e-05,-0.00013714
2.2e-06,1,0.0863847,-9.13615e-05,-9.13615e-05,5.48794e-05,-0.000146241
2.3e-06,1,0.0808968,-9.19103e-05,-9.19103e-05,6.29691e-05,-0.000154879
2.4e-06,1,0.0745999,-9.254e-05,-9.254e-05,7.04291e-05,-0.000162969
2.5e-06,1,0.067557,-9.32443e-05,-9.32443e-05,7.71848e-05,-0.000170429
2.6e-06,1,0.0598385,-9.40162e-05,-9.40162e-05,8.31687e-05,-0.000177185
