time,V(N001),V(N002),V(N003),V(N004),I(V1),I(V2),I(V3),I(R1),I(R2),I(R3),I(R4)
0,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
1e-06,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
2e-06,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
3e-06,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
4e-06,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
5e-06,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
6e-06,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
7e-06,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
8e-06,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
9e-06,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
1e-05,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
1.1e-05,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
1.2e-05,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
1.3e-05,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
1.4e-05,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
1.5e-05,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
1.6e-05,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
1.7e-05,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
1.8e-05,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
1.9e-05,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
2e-05,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
2.1e-05,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
2.2e-05,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
2.3e-05,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
2.4e-05,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
2.5e-05,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
2.6e-05,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
2.7e-05,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
